Nation,Gold,Silver,Bronze,Total
Russia,10,0,0,10
United States,5,2,2,9
Canada,3,4,1,8
Japan,0,4,10,14
China,0,3,2,5
Spain,0,3,1,4
France,0,0,1,1
Totals,18,16,17,51
