Nation,Gold,Silver,Bronze,Total
United States,49,44,45,138
China,40,19,10,69
Sweden,6,8,7,21
Russia,8,14,13,35
Italy,3,5,3,11
Australia,3,3,7,13
Germany,7,11,14,32
Mexico,1,7,6,14
Canada,1,4,8,13
Great Britain,1,3,6,10
Denmark,1,0,1,2
Greece,1,0,0,1
Egypt,0,1,1,2
Malaysia,0,1,1,2
France,0,1,0,1
Ukraine,0,0,2,2
Totals,122,122,124,368
