Nation,Gold,Silver,Bronze,Total
China,18,8,15,41
Indonesia,7,6,6,19
South Korea,6,7,6,19
Denmark,1,3,4,8
Japan,1,1,1,3
Spain,1,0,0,1
Malaysia,0,6,2,8
Great Britain,0,1,2,3
India,0,1,1,2
Netherlands,0,1,0,1
Russia,0,0,1,1
Totals,34,34,38,106
