Nation,Gold,Silver,Bronze,Total
Hungary,9,8,5,22
Sweden,9,7,5,21
Russia,9,7,6,22
Poland,3,0,1,4
Great Britain,2,2,3,7
Italy,2,2,3,7
Germany,2,0,1,3
Lithuania,1,2,1,4
Czech Republic,1,1,2,4
Australia,1,0,0,1
Kazakhstan,1,0,0,1
United States,0,6,3,9
Finland,0,1,4,5
France,0,1,2,3
China,0,1,0,1
Latvia,0,1,0,1
Ukraine,0,1,0,1
Belarus,0,0,2,2
Brazil,0,0,1,1
Mexico,0,0,1,1
Totals,40,40,40,120
