Nation,Gold,Silver,Bronze,Total
South Korea,23,9,7,39
United States,8,5,3,16
Italy,2,2,3,7
China,1,6,2,9
Finland,1,1,2,4
Ukraine,1,1,2,4
France,1,1,1,3
Australia,1,0,2,3
Spain,1,0,0,1
Japan,0,3,2,5
Germany,0,2,1,3
Sweden,0,2,0,2
Chinese Taipei,0,1,2,3
Mexico,0,1,1,2
Poland,0,1,1,2
Russia,1,4,6,11
Indonesia,0,1,0,1
Great Britain,0,0,4,4
Netherlands,0,0,1,1
Totals,40,40,40,120
