United States,113,141.0228401294185,-28.022840129418512,-19.87113584133009
China,88,41.851439899365445,46.148560100634555,110.26755641287806
Japan,58,31.664232860515416,26.335767139484584,83.17197279181423
Great Britain,65,48.31657533411641,16.683424665883592,34.529402281753605
Russia,71,89.27264921227079,-18.272649212270792,-20.468362229088143
Australia,46,31.769498113697022,14.230501886302978,44.792970400019236
Netherlands,36,19.68216076527554,16.31783923472446,82.90674702501862
France,33,44.80957146994993,-11.80957146994993,-26.355019882012552
Germany,37,79.40991035480198,-42.40991035480198,-53.40631939428631
Italy,40,34.66760937991573,5.332390620084269,15.381477740929906
Canada,24,18.290255297377595,5.709744702622405,31.217413916803306
Brazil,21,9.3122070889882,11.6877929110118,125.51044880469591
New Zealand,20,6.47412028035302,13.52587971964698,208.9222803087842
Cuba,15,14.95410756416372,0.04589243583627933,0.30688849628350834
Hungary,20,29.03382400680042,-9.033824006800419,-31.114826640419402
South Korea,20,25.699116766478156,-5.699116766478156,-22.17631375531187
Poland,14,16.886167299863672,-2.886167299863672,-17.091902790084124
Czech Republic,11,7.962521357277038,3.037478642722962,38.1471961760828
Kenya,10,5.125704015474684,4.874295984525316,95.0951512184403
Norway,8,7.505911487382895,0.49408851261710485,6.582658394621976
Jamaica,9,3.8977718871728975,5.1022281128271025,130.90114713018295
Spain,17,11.32522950870122,5.67477049129878,50.10733325041079
Sweden,9,25.312375808120088,-16.312375808120088,-64.44426999573527
Switzerland,13,9.8737978459366,3.1262021540633995,31.66159772402002
Denmark,11,12.325240496198887,-1.3252404961988873,-10.752248579714063
Croatia,8,2.5980026805503975,5.4019973194496025,207.9288585762801
Iran,7,5.170764826652723,1.8292351733472767,35.376491383218166
Serbia,9,1.4159075473281009,7.584092452671899,535.6347218420806
Belgium,7,8.267826264133754,-1.2678262641337543,-15.334457009983971
Bulgaria,6,12.26510604958545,-6.26510604958545,-51.08073280619701
Slovenia,5,1.4810518613059565,3.5189481386940438,237.59790123697076
Uzbekistan,5,2.1248763901971572,2.8751236098028428,135.30780534184737
Georgia,8,2.379591291967417,5.620408708032583,236.1921867425266
Chinese Taipei,12,3.154149021738401,8.845850978261598,280.45126965454
Turkey,13,6.2345112066685155,6.7654887933314845,108.51674764967987
Greece,4,6.95585359926886,-2.9558535992688597,-42.494476875987644
Uganda,4,0.3867496242555619,3.613250375744438,934.2608626186598
Ecuador,3,0.11272162490474917,2.8872783750952506,2561.4236643013514
Ireland,4,1.78249071226566,2.21750928773434,124.40509633375557
Israel,4,0.8306378561036941,3.169362143896306,381.55763316193634
Qatar,3,0.24209949056313773,2.7579005094368623,1139.1599804782004
Bahamas,2,0.7341739485662542,1.2658260514337458,172.4150051776883
Kosovo,2,0.12223734851271267,1.8777626514872874,1536.1611441465457
Ukraine,19,7.133168769681044,11.866831230318956,166.36128505409772
Belarus,7,4.435908085237853,2.5640919147621473,57.80308936731859
Romania,4,17.109842867446957,-13.109842867446957,-76.62164386319195
Venezuela,4,1.2858741587476306,2.714125841252369,211.07243059427964
India,7,1.734145899164802,5.265854100835198,303.65692433210694
Hong Kong,6,0.34673969124448134,5.653260308755518,1630.4047247851656
Philippines,4,0.6294472001309931,3.370552799869007,535.4782417282287
Slovakia,4,1.6822212639192866,2.3177787360807134,137.7808487975409
South Africa,3,5.097999934017722,-2.0979999340177216,-41.15339272600368
Austria,7,5.377061008543586,1.6229389914564143,30.18264045875125
Egypt,6,2.501884207784755,3.498115792215245,139.81925227916858
Indonesia,5,3.6632838949074857,1.3367161050925143,36.48955809706014
Ethiopia,4,2.614879343533363,1.3851206564666372,52.97072921900057
Portugal,4,1.393554378110996,2.606445621889004,187.03580303928416
Tunisia,2,1.0194596441570696,0.9805403558429304,96.18236106380462
Estonia,2,2.2386506391809147,-0.23865063918091467,-10.660468185792183
Fiji,2,0.014563106796116505,1.9854368932038835,13633.333333333334
Latvia,2,1.2155838965735886,0.7844161034264114,64.52998477830072
Thailand,2,2.826585587860661,-0.8265855878606612,-29.243253464908292
Bermuda,1,0.07191042638817335,0.9280895736118266,1290.6189272220245
Morocco,1,1.1903334748824004,-0.19033347488240038,-15.98992878035329
Puerto Rico,1,0.5049464616629123,0.49505353833708765,98.04079757421313
Colombia,5,2.2189337662493775,2.7810662337506225,125.33344960770987
Azerbaijan,7,3.098486848645927,3.901513151354073,125.91672457990511
Dominican Republic,5,0.7345796558020878,4.265420344197912,580.6613769531227
Armenia,4,0.8821008998231598,3.11789910017684,353.4628635796546
Kyrgyzstan,3,0.12223734851271266,2.8777626514872874,2354.2417162198185
Mongolia,4,1.8476739500520125,2.1523260499479875,116.4884123569204
Argentina,3,4.866332258236338,-1.866332258236338,-38.35192829420029
San Marino,3,0.014563106796116505,2.9854368932038833,20500.0
Jordan,2,0.21039644012944986,1.7896035598705502,850.5864256873676
Malaysia,2,1.4094319612854733,0.5905680387145267,41.90113853923809
Nigeria,2,1.5927579419029863,0.40724205809701375,25.568358341409446
Bahrain,1,0.16170260694334115,0.8382973930566588,518.4192196421355
Lithuania,1,1.7009119730722373,-0.7009119730722373,-41.20800983052811
Namibia,1,0.21048703495048451,0.7895129650495155,375.0886439325075
North Macedonia,1,0.014563106796116505,0.9854368932038835,6766.666666666667
Saudi Arabia,1,0.16248321921418563,0.8375167807858144,515.4481704857155
Kazakhstan,8,4.050451334444676,3.949548665555324,97.50885369165442
Mexico,4,5.27473237498073,-1.2747323749807302,-24.166768745028268
Finland,2,15.428377065693448,-13.428377065693448,-87.03687373283609
Botswana,1,0.06354408883470851,0.9364559111652915,1473.710502956789
