Nation,Gold,Silver,Bronze,Total
South Korea,4,0,0,4
Turkey,1,0,0,1
Russia,0,2,0,2
Italy,0,1,1,2
Chinese Taipei,0,1,0,1
Netherlands,0,1,0,1
Japan,0,0,2,2
Germany,0,0,1,1
Mexico,0,0,1,1
Totals,5,5,5,15
