Nation,Gold,Silver,Bronze,Total
China,7,5,0,12
Great Britain,1,0,2,3
United States,0,2,1,3
Canada,0,1,0,1
Germany,0,0,2,2
Australia,0,0,1,1
Mexico,0,0,1,1
Russia,0,0,1,1
Totals,8,8,8,24
