Nation,Gold,Silver,Bronze,Total
Russia,0.7564883558601434,0.20093280030458785,0.20093280030458785,1.158353956469319
United States,0.4591027349451108,0.306324957167333,0.29897201599086237,1.064399708103306
Canada,0.3283837806967447,0.41171711403007805,0.22054064344184277,0.9606415381686655
Japan,0.2793641728536075,0.5293641728536075,0.8675994669712546,1.6763278126784695
China,0.10289358461831334,0.2903935846183133,0.22054064344184277,0.6138278126784694
Spain,0.08328574148105844,0.27078574148105844,0.14210927089282316,0.49618075385494004
France,0.024462212069293734,0.024462212069293734,0.08328574148105844,0.1322101656196459
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
