Nation,Gold,Silver,Bronze,Total
Belgium,0.05670174636081161,0.056891463682003034,0.11743484321128995,0.23102805325410458
New Zealand,0.05564466390838032,0.055834381229571746,0.06220168852409568,0.17368073366204775
Algeria,0.05881591126567419,0.011196863646626573,0.2820772248204415,0.35208999973274224
Dominican Republic,0.05458758145594903,0.0069685338369014135,0.061144606071664394,0.12270072136451485
Sweden,0.01648227590878302,0.25552610060997827,0.3415387093173609,0.6135470858361223
Nigeria,0.011196863646626573,0.15462315846734367,0.1737250803509155,0.33954510246488573
Uganda,0.009082698741763994,0.1525089935624811,0.06325877097652698,0.22485046328077207
Philippines,0.010139781194195282,0.10575731107467337,0.17266799789848422,0.2885650901673529
Turkey,0.010139781194195282,0.10575731107467337,0.17266799789848422,0.2885650901673529
Spain,0.009082698741763994,0.10470022862224208,0.11743484321128995,0.23121777057529602
Belarus,0.0069685338369014135,0.1025860637173795,0.0069685338369014135,0.11652313139118231
Azerbaijan,0.013311028551489152,0.06111979349172819,0.39254353419483,0.46697435623804734
Puerto Rico,0.011196863646626573,0.059005628586865616,0.2820772248204415,0.3522797170539337
Colombia,0.010139781194195282,0.05794854613443432,0.2268440701332472,0.2949323974618768
Australia,0.009082698741763994,0.056891463682003034,0.17161091544605292,0.23758507786981994
Egypt,0.009082698741763994,0.056891463682003034,0.17161091544605292,0.23758507786981994
Chile,0.008025616289332703,0.055834381229571746,0.11637776075885865,0.18023775827776312
Ghana,0.008025616289332703,0.055834381229571746,0.11637776075885865,0.18023775827776312
Cameroon,0.0069685338369014135,0.05477729877714046,0.061144606071664394,0.12289043868570626
Australasia,0.005911451384470124,0.053720216324709164,0.005911451384470124,0.0655431190936494
Czech Republic,0.1551110889562007,0.10787147597953595,0.12060609056858382,0.38358865550432053
Estonia,0.005911451384470124,0.053720216324709164,0.005911451384470124,0.0655431190936494
Tonga,0.005911451384470124,0.053720216324709164,0.005911451384470124,0.0655431190936494
Morocco,0.009082698741763994,0.009082698741763994,0.2257869876808159,0.2439523851643439
India,0.0069685338369014135,0.0069685338369014135,0.11532067830642737,0.12925774598023018
Moldova,0.0069685338369014135,0.0069685338369014135,0.11532067830642737,0.12925774598023018
Tunisia,0.0069685338369014135,0.0069685338369014135,0.11532067830642737,0.12925774598023018
Armenia,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Bermuda,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Croatia,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Georgia,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Guyana,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Lithuania,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Mauritius,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Niger,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Pakistan,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Syria,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Tajikistan,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Uruguay,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Zambia,0.005911451384470124,0.005911451384470124,0.0600875236192331,0.07191042638817335
Totals,13.004854368932039,13.004854368932039,25.00485436893204,51.01456310679612
